N_clients,Global_iter,Local_iter,Rank,Loss,Acc,Precision,Recall,F1-score,FN,Time
20,20,30,14,26.809545516967773,0.698844599365957,0.8246465724193118,0.8199515533002104,0.8222923611603661,0.1800484466997896,9.934253215789795
20,30,30,14,7.096890926361084,0.7212013762639542,0.8341099720410066,0.838711388510706,0.8364043517359335,0.161288611489294,15.017590045928955
20,40,30,14,8.023612976074219,0.8431269438225881,0.8531519941187282,0.9849178704669626,0.9143119762985334,0.015082129533037466,20.207005977630615
20,50,30,14,6.773512840270996,0.8539146896644981,0.8626157514943169,0.9849532330215535,0.9197341808725801,0.015046766978446523,25.17879819869995
20,60,30,14,10.914409637451172,0.8412188049341166,0.864061683633888,0.9649557084003748,0.9117258891728897,0.03504429159962516,30.161089658737183
20,70,30,14,7.719963073730469,0.8076686148714636,0.851419943459265,0.9372137843237796,0.8922592645585922,0.06278621567622045,35.17442035675049
20,80,30,14,4.866057395935059,0.7594392776116712,0.8639807533484146,0.8508584260126951,0.8573693822101465,0.14914157398730485,31.199808835983276
20,90,30,14,6.972746849060059,0.7701669245909522,0.8413528360579787,0.8990575879201513,0.8692485875223304,0.10094241207984865,45.25146460533142
20,100,30,14,4.291444778442383,0.8037171146536052,0.8535728802536379,0.9282493767349753,0.8893462756856567,0.07175062326502467,50.7950918674469
20,110,30,14,5.026871681213379,0.8517361058941959,0.8516850208650326,0.9995933306222041,0.9197305915272986,0.00040666937779585197,54.82563304901123
20,120,30,14,5.542994022369385,0.8521117237856274,0.852027128862095,0.9995579680676132,0.9199150577265738,0.0004420319323867956,60.67954421043396
20,130,20,14,3.9797394275665283,0.7978274261159608,0.8458427615425352,0.9319270824124335,0.8868007066543283,0.06807291758756652,79.3703842163086
20,140,30,14,4.442164421081543,0.8192376459275508,0.8496733052710937,0.9565040578531393,0.8999292992306093,0.043495942146860686,82.81245565414429
20,150,30,14,3.630070447921753,0.8593686614480821,0.8619013296118515,0.9937231465601075,0.9231299891593575,0.006276853439892498,75.52132987976074
20,160,30,14,3.5493476390838623,0.8624637528734769,0.8637375117017848,0.9951376487437452,0.9247933748500633,0.004862351256254752,80.69820547103882
20,170,30,14,3.484206438064575,0.8549814444761633,0.8635313812719917,0.9850062768534399,0.9202775253985298,0.014993723146560108,85.1725721359253
20,180,30,14,4.307476043701172,0.8637258289886864,0.86520033838345,0.9945895291475856,0.9253940051985654,0.005410470852414378,90.96393132209778
20,200,30,14,4.042552471160889,0.8710879396607419,0.8694118915256326,0.9982318722704528,0.9293792286038817,0.0017681277295471824,99.47646808624268
20,200,30,14,3.720515489578247,0.8555223342398245,0.8643638903981992,0.9844581572572803,0.9205105313626294,0.015541842742719735,100.92750859260559
