N_clients,Global_iter,Local_iter,Rank,Loss,Acc,Precision,Recall,F1-score,FN,Time
20,20,10,2,3.088320255279541,0.8859473834457683,0.9055088114482576,0.9666531110207401,0.9350824831313658,0.03334688897925986,8.188717603683472
20,40,10,2,3.8976187705993652,0.8859023092987965,0.9054638202023882,0.9666531110207401,0.935058493534925,0.03334688897925986,19.30182695388794
20,60,10,2,3.7244911193847656,0.8858422104361675,0.9054038388288095,0.9666531110207401,0.9350265093210193,0.03334688897925986,28.039371013641357
20,80,10,2,3.8936965465545654,0.8859624081614256,0.9055238095238095,0.9666531110207401,0.9350904799370574,0.03334688897925986,37.40033459663391
20,100,10,2,3.7385146617889404,0.8858572351518248,0.9054188334271803,0.9666531110207401,0.9350345051693618,0.03334688897925986,45.077885389328
20,120,10,2,3.127154588699341,0.8860675811710264,0.9056288099655446,0.9666531110207401,0.9351464614068848,0.03334688897925986,53.090564489364624
20,140,10,2,3.4120101928710938,0.8859774328770827,0.9055388080962004,0.9666531110207401,0.9350984768795273,0.03334688897925986,59.32836127281189
20,160,10,2,2.567131519317627,0.8854365431134216,0.9049991723224632,0.9666531110207401,0.9348106730958305,0.03334688897925986,74.49525570869446
20,180,10,2,3.4009807109832764,0.8861577294649698,0.9057188297273119,0.9666531110207401,0.9351944508591418,0.03334688897925986,84.6139190196991
20,200,10,2,3.686957597732544,0.8859774328770827,0.9055388080962004,0.9666531110207401,0.9350984768795273,0.03334688897925986,88.45222973823547
