N_clients,Global_iter,Local_iter,Rank,Loss,Acc,Precision,Recall,F1-score,FN,Time
20,200,30,14,3.173858880996704,0.8511351172679057,0.8519351188230856,0.9983202786569302,0.9193369805913768,0.0016797213430698233,97.85267996788025
20,200,30,14,4.042552471160889,0.8710879396607419,0.8694118915256326,0.9982318722704528,0.9293792286038817,0.0017681277295471824,99.47646808624268
100,100,30,2,3.913933753967285,0.7467734423126042,0.8380071853024808,0.8702194246512368,0.8538095898966067,0.1297805753487632,63.11725211143494
