N_clients,Global_iter,Local_iter,Rank,Loss,Acc,Precision,Recall,F1-score,FN,Time
20,20,10,2,27.019744873046875,0.578169962652299,0.7533859884234838,0.5828553780993558,0.6572391577428702,0.41714462190064416,6.415415287017822
20,20,20,2,7.6497344970703125,0.5444039674279066,0.7362860872468959,0.5350304420718256,0.61972838654453,0.46496955792817435,6.8009302616119385
20,20,30,2,11.052690505981445,0.7050450009183861,0.7797072207435392,0.8013103326568428,0.7903611836379459,0.19868966734315716,7.2598419189453125
20,20,40,2,5.922028541564941,0.7546225433172106,0.7858243752072888,0.8885334862790082,0.8340287196264584,0.1114665137209918,7.51711106300354
20,20,50,2,9.515623092651367,0.7653523541296762,0.7673593783417695,0.9497705814876908,0.8488761829652998,0.050229418512309186,8.076318740844727
20,20,60,2,5.08910608291626,0.8053939876324007,0.7865450839834142,0.9875363981293568,0.8756552695407246,0.012463601870643255,8.299576997756958
20,20,70,2,5.055535793304443,0.7925825016837078,0.7774421649934526,0.9822641842407129,0.8679329870281755,0.017735815759287038,8.91662073135376
20,20,80,2,4.288601875305176,0.7914651319414682,0.7753290958980237,0.9848451425041913,0.8676176224809063,0.0151548574958087,9.076589107513428
20,20,90,2,3.8676109313964844,0.768398334659891,0.7653726517055339,0.9607341392393894,0.8519978480950751,0.03926586076061061,9.402746438980103
20,20,100,2,3.7219417095184326,0.7880058776709729,0.776080398484636,0.9761095914585723,0.8646773752296089,0.02389040854142769,9.85605001449585
20,40,10,2,19.405933380126953,0.6104053143941713,0.7595644112500979,0.6416218124062473,0.6956292974588939,0.3583781875937528,12.920201063156128
20,40,20,2,4.8726348876953125,0.6734678258739974,0.7767093277989162,0.7430071472690373,0.7594845372447772,0.2569928527309627,13.649883270263672
20,40,30,2,5.939295768737793,0.7384589481417988,0.7765267960290576,0.8748345539574693,0.8227544785950645,0.12516544604253066,14.430091619491577
20,40,40,2,4.4687628746032715,0.7857099124471928,0.7709630552096306,0.9832789199682344,0.8642726955442664,0.01672108003176564,15.120202779769897
20,40,50,2,4.4068922996521,0.7765872772913733,0.7740957408860669,0.9574252183887761,0.8560552268244576,0.04257478161122386,15.855257034301758
20,40,60,2,4.791319370269775,0.7667758525684197,0.7630543852595144,0.9628739080561193,0.851397083922563,0.0371260919438807,16.714553117752075
20,40,70,2,3.9215893745422363,0.8182820057552195,0.7989956035314723,0.9862128297891114,0.8827873546195919,0.013787170210888556,17.513850688934326
20,40,80,2,3.7162086963653564,0.7844394783567011,0.769997753546804,0.982948027883173,0.8635381440102323,0.017051972116826967,18.542956590652466
20,40,90,2,4.053607940673828,0.7958274658666503,0.779029810392646,0.9851980940615901,0.8700675037258551,0.014801905938409953,18.756354808807373
20,40,100,2,3.4978249073028564,0.8289658972632095,0.8106628346915018,0.9831245036618724,0.888603102444471,0.016875496338127592,19.636544227600098
20,60,10,2,10.65853500366211,0.7085348680585318,0.7780951172040281,0.8113253330980323,0.7943628509719222,0.1886746669019677,19.405573844909668
20,60,20,2,6.283932209014893,0.7804751117369743,0.7820246805722398,0.9478072884496603,0.856971897002214,0.052192711550339714,20.538676977157593
20,60,30,2,4.76354455947876,0.7745668278944469,0.7894926028226569,0.9205638401129445,0.8500050921682452,0.0794361598870555,21.5127592086792
