N_clients,Global_iter,Local_iter,Rank,Loss,Acc,Precision,Recall,F1-score,FN,Time
20,200,30,2,3.5572478771209717,0.8303128635278271,0.8127145883556139,0.9816685784876026,0.8892374710254977,0.018331421512397424,73.76882314682007
20,200,30,6,3.856600284576416,0.8491244719279986,0.8268199657288154,0.9898967616694608,0.9010391044626274,0.010103238330539133,74.37292909622192
20,200,30,10,3.1308274269104004,0.7918630992469234,0.8238956479137748,0.8903423630106768,0.8558312128922817,0.10965763698932321,75.68861222267151
20,200,30,14,3.3819003105163574,0.7863833955795017,0.8612083256585007,0.8251125033089208,0.8427740976071381,0.17488749669107914,75.90922522544861
20,200,30,18,3.754159450531006,0.7949856119512643,0.7761083062452452,0.9901835348098473,0.8701729218362283,0.009816465190152652,76.07280206680298
20,200,30,22,2.3697845935821533,0.7915569705504194,0.7858147080028839,0.9617268154945734,0.8649168749752013,0.03827318450542663,77.025465965271
20,200,30,26,2.157259702682495,0.7241780444498868,0.8218932679615312,0.7691696814612194,0.7946579151283103,0.23083031853878055,77.6483302116394
20,200,30,30,2.1181318759918213,0.6824373966815649,0.8080286666499612,0.7113297449924998,0.7566020248947078,0.2886702550075002,75.88196301460266
20,200,30,34,2.090369701385498,0.7944192738627319,0.7791232828768921,0.9821538868790258,0.8689364442753008,0.017846113120974148,77.65130257606506
20,200,30,39,2.0308234691619873,0.7751484724178045,0.7797845142439737,0.9419615282802435,0.8532350237781242,0.058038471719756464,77.5600073337555
