N_clients,Global_iter,Local_iter,Rank,Loss,Acc,Precision,Recall,F1-score,FN,Time
20,30,30,2,3.4358057975769043,0.8237310965529909,0.8031954954631855,0.9880658254654549,0.8860907238521039,0.011934174534545134,10.409232378005981
20,30,30,6,2.9007668495178223,0.8240525316843201,0.8060344047898993,0.9829700873555105,0.8857526213785221,0.017029912644489543,10.445337295532227
20,30,30,10,2.3527350425720215,0.8243892732504745,0.8089042970531886,0.9779405276625783,0.8854269650578707,0.022059472337421688,10.525763511657715
20,30,30,14,2.234084367752075,0.7276526051552072,0.7925386135248252,0.8229065560751787,0.8074371489486044,0.17709344392482132,10.568605422973633
20,30,30,18,1.846600890159607,0.843277413824772,0.8194978058595386,0.9928086120180005,0.8978663554478259,0.007191387981999471,10.663491010665894
20,30,30,22,1.5402201414108276,0.7840568174860711,0.7628282828282829,0.9995588105532516,0.865294274911202,0.0004411894467484338,10.763909816741943
20,30,30,26,1.1052734851837158,0.8319200391844731,0.8203009902467225,0.9703300097061678,0.8890303673386892,0.02966999029383217,10.625288248062134
20,30,30,30,0.7183948755264282,0.7484234372130043,0.7759779951100244,0.8961440042354187,0.8317431718602842,0.10385599576458131,10.950501441955566
20,30,30,34,0.4674347937107086,0.8043837629339374,0.7833269505274518,0.9926541957116386,0.8756543229095721,0.0073458042883614225,11.133095026016235
20,30,30,39,5.827788880814755e-13,0.5560674707647095,0.8360844687770139,0.4480499426453719,0.5834398563734291,0.5519500573546281,11.304364681243896
