N_clients,Global_iter,Local_iter,Rank,Loss,Acc,Precision,Recall,F1-score,FN,Time
20,20,30,2,3.2997772693634033,0.8243280475111737,0.8038121219735449,0.9879555281037677,0.8864214391038012,0.012044471896232242,6.702536106109619
20,30,30,2,3.3281047344207764,0.8242668217718729,0.8037326155226558,0.9879996470484426,0.8863908487289351,0.0120003529515574,10.220282077789307
20,40,30,2,3.303112030029297,0.8247107083818037,0.8042166511026507,0.9878672902144181,0.886631820701671,0.01213270978558193,13.669642925262451
20,50,30,2,3.2418816089630127,0.8246800955121533,0.804165918477285,0.9879114091590929,0.8866187563105067,0.012088590840907085,17.32023286819458
20,60,30,2,3.2290873527526855,0.8246035633380273,0.8039627416141711,0.988176122827142,0.8866018149251368,0.011823877172858025,20.625828981399536
20,70,30,2,3.0790960788726807,0.8242821282066981,0.8035400451920662,0.9884187770228536,0.8864423210081707,0.011581222977146387,24.183845281600952
20,80,30,2,3.23484468460083,0.8244045796852997,0.8035246871526408,0.9886834906909027,0.8865394125210166,0.011316509309097326,27.59697127342224
20,90,30,2,3.1965606212615967,0.8242668217718729,0.8032537222510885,0.9889702638312892,0.8864896930149786,0.011029736168710844,31.486658334732056
20,100,30,2,3.021554946899414,0.824955611339007,0.8038256068265749,0.9891246801376511,0.8868999347271397,0.010875319862348893,35.02710175514221
20,110,30,2,3.0050816535949707,0.826256658299149,0.8050194783045796,0.9891908585546634,0.8876527935863809,0.010809141445336628,38.23912262916565
20,120,30,2,2.9986205101013184,0.8264709483867018,0.8051232340639417,0.9893893938057001,0.8877958016211561,0.010610606194299833,42.094637870788574
20,130,30,2,3.146787643432617,0.8252464336006857,0.8037617554858935,0.9898085237801112,0.8871358383502872,0.01019147621988882,44.86028218269348
20,140,30,2,2.957667827606201,0.8252770464703362,0.8043357321034402,0.9887055501632401,0.8870417099599228,0.011294449836759904,48.967005491256714
20,150,30,2,3.1839752197265625,0.8263484969081002,0.8046576668638735,0.9900952969204977,0.8877965799962417,0.009904703079502338,52.17793011665344
20,160,30,2,3.0946044921875,0.8273128023020878,0.8058090242850985,0.9896099885290743,0.8883014534077859,0.010390011470925616,55.96982383728027
20,170,30,2,2.8518080711364746,0.8275270923896406,0.8056163646151085,0.9904041295332215,0.8885040866003048,0.009595870466778435,59.232102394104004
20,180,30,2,3.077139377593994,0.8270372864752342,0.8055156564205688,0.9896761669460866,0.8881498198519223,0.01032383305391335,63.414137840270996
20,190,30,2,2.9355289936065674,0.8261954325598482,0.8049397784997577,0.9892349774993382,0.8876221014815475,0.010765022500661784,66.07893514633179
20,200,30,2,3.004655122756958,0.8253229657748117,0.8029004143449064,0.9917056384011295,0.8873712052425882,0.008294361598870556,70.02234172821045
100,30,30,2,3.0557596683502197,0.831139411008388,0.8186903036384584,0.9718741727697874,0.888729752082787,0.028125827230212654,12.7024405002594
